consolidated_cleaned_research_request,fy_fq_requests_removed,missing_quarter_requests_removed,new_fact_count,new_wave,old_fact_count,old_wave,remaining_facts,source_semantics_requests_removed,structural_review_still_required,ticker
Research official issuer sources for FY2025 Q3. Verify first-public result publication date. Do not research other fields.; Research official issuer sources for FY2024 Q1. Verify first-public result publication date. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify first-public result publication date. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify first-public result publication date. Do not research other fields.,0,1,4,P2_LATEST4Q,5,P2_LATEST4Q,FIRST_PUBLIC_PUBLISH_DATE,0,NO,CISO
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.,0,0,1,P3_LATEST8Q,1,P3_LATEST8Q,TOTAL_DEBT,0,NO,CLAR
,0,1,0,NO_EXTERNAL_RESEARCH_NEEDED,1,P3_LATEST8Q,,0,NO,CLB
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,2,2,P3_LATEST8Q,4,P3_LATEST8Q,TOTAL_DEBT,0,NO,CLDX
"Research official issuer sources for FY2025 Q2. Verify Cash, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.",0,0,7,P3_LATEST8Q,7,P3_LATEST8Q,CASH|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CLFD
,0,3,0,NO_EXTERNAL_RESEARCH_NEEDED,3,P3_LATEST8Q,,0,NO,CLMT
Research official issuer sources for FY2025 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q4. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2026 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify Total Debt. Do not research other fields.,0,1,6,P2_LATEST4Q,7,P2_LATEST4Q,TOTAL_DEBT,0,NO,CLOV
Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,1,1,P3_LATEST8Q,2,P3_LATEST8Q,TOTAL_DEBT,0,NO,CLPT
"Research official issuer sources for FY2024 Q2. Verify Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Revenue, Total Debt. Do not research other fields.",0,0,4,P3_LATEST8Q,4,P3_LATEST8Q,REVENUE|TOTAL_DEBT,0,NO,CLRB
"Research official issuer sources for FY2025 Q2. Verify first-public result publication date. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify first-public result publication date, Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify first-public result publication date, Revenue, Total Debt. Do not research other fields.",0,0,7,P2_LATEST4Q,7,P2_LATEST4Q,FIRST_PUBLIC_PUBLISH_DATE|REVENUE|TOTAL_DEBT,0,NO,CLRO
"Research official issuer sources for FY2024 Q2. Verify Cash, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Cash, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, FCF, OCF required to derive FCF, source semantics confirmation. Do not research other fields.",0,2,8,P3_LATEST8Q,10,P3_LATEST8Q,CASH|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CLS
"Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,4,P3_LATEST8Q,4,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CLX
"Research official issuer sources for FY2024 Q2. Verify first-public result publication date, Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify first-public result publication date, missing quarter existence/source evidence, Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify missing quarter existence/source evidence. Do not research other fields.",0,0,8,P3_LATEST8Q,8,P3_LATEST8Q,FIRST_PUBLIC_PUBLISH_DATE|MISSING_QUARTER_EXISTENCE|REVENUE|TOTAL_DEBT,0,YES,CLYM
"Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.",0,2,4,P3_LATEST8Q,6,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CMC
"Research official issuer sources for FY2025 Q2. Verify first-public result publication date. Do not research other fields.; Research official issuer sources for FY2025 Q3. Verify first-public result publication date. Do not research other fields.; Research official issuer sources for FY2024 Q1. Verify Capex required to derive FCF, EBIT, FCF, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, EBIT, FCF, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, EBIT, FCF, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify first-public result publication date. Do not research other fields.",0,2,18,P2_LATEST4Q,20,P2_LATEST4Q,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CMCT
Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q4. Verify Total Debt. Do not research other fields.,0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,TOTAL_DEBT,0,NO,CMG
"Research official issuer sources for FY2024 Q3. Verify Revenue. Do not research other fields.; Research official issuer sources for FY2024 Q4. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,3,P3_LATEST8Q,3,P3_LATEST8Q,EBIT_DIRECT|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CMPS
"Research official issuer sources for FY2024 Q3. Verify Revenue. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Cash, FCF, OCF required to derive FCF, source semantics confirmation. Do not research other fields.",0,2,5,P3_LATEST8Q,7,P3_LATEST8Q,CASH|FCF_DIRECT|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CMPX
Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,2,1,P3_LATEST8Q,3,P3_LATEST8Q,TOTAL_DEBT,0,NO,CMRC
"Research official issuer sources for FY2025 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q4. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2026 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.",0,2,14,P2_LATEST4Q,16,P2_LATEST4Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CMTG
Research official issuer sources for FY2026 Q1. Verify first-public result publication date. Do not research other fields.,0,0,1,P2_LATEST4Q,1,P2_LATEST4Q,FIRST_PUBLIC_PUBLISH_DATE,0,NO,CMTL
"Research official issuer sources for FY2024 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.",0,1,6,P3_LATEST8Q,7,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CNDT
"Research official issuer sources for FY2023 Q3. Verify Capex required to derive FCF, EBIT, FCF, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2023 Q4. Verify Capex required to derive FCF, EBIT, FCF, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.",0,2,12,P3_LATEST8Q,14,P3_LATEST8Q,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CNH
"Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CNK
,0,2,0,NO_EXTERNAL_RESEARCH_NEEDED,2,P3_LATEST8Q,,0,NO,CNR
"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, source semantics confirmation, Total Debt. Do not research other fields.",0,2,8,P3_LATEST8Q,10,P3_LATEST8Q,CAPEX_FOR_FCF|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CNVS
"Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.",0,1,4,P3_LATEST8Q,5,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CNX
Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q4. Verify Total Debt. Do not research other fields.,0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,TOTAL_DEBT,0,NO,CNXN
"Research official issuer sources for FY2023 Q2. Verify first-public result publication date, Total Debt. Do not research other fields.; Research official issuer sources for FY2023 Q4. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Cash, Total Debt. Do not research other fields.",0,3,5,P3_LATEST8Q,8,P3_LATEST8Q,CASH|FIRST_PUBLIC_PUBLISH_DATE|TOTAL_DEBT,0,NO,COCH
"Research official issuer sources for FY2024 Q4. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify first-public result publication date. Do not research other fields.",0,0,3,P3_LATEST8Q,3,P3_LATEST8Q,EBIT_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CODI
"Research official issuer sources for FY2024 Q1. Verify Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Revenue, Total Debt. Do not research other fields.",0,2,6,P3_LATEST8Q,8,P3_LATEST8Q,REVENUE|TOTAL_DEBT,0,NO,COGT
,0,1,0,NO_EXTERNAL_RESEARCH_NEEDED,1,P3_LATEST8Q,,0,NO,COHR
"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, source semantics confirmation. Do not research other fields.",0,2,6,P3_LATEST8Q,8,P3_LATEST8Q,CAPEX_FOR_FCF|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,COIN
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,1,2,P3_LATEST8Q,3,P3_LATEST8Q,TOTAL_DEBT,0,NO,COLM
"Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.",0,1,4,P3_LATEST8Q,5,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,COP
"Research official issuer sources for FY2025 Q1. Verify Cash, FCF, OCF required to derive FCF, source semantics confirmation, Total Debt. Do not research other fields.",0,1,5,P3_LATEST8Q,6,P3_LATEST8Q,CASH|FCF_DIRECT|OCF_FOR_FCF|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CORT
"Research official issuer sources for FY2025 Q1. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, source semantics confirmation, Total Debt. Do not research other fields.",0,1,6,P3_LATEST8Q,7,P3_LATEST8Q,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CORZ
"Research official issuer sources for FY2024 Q3. Verify missing quarter existence/source evidence, official period_end. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify official period_end. Do not research other fields.",0,0,3,P3_LATEST8Q,3,P3_LATEST8Q,MISSING_QUARTER_EXISTENCE|OFFICIAL_PERIOD_END,0,NO,COST
Research official issuer sources for FY2026 Q1. Verify first-public result publication date. Do not research other fields.; Research official issuer sources for FY2026 Q2. Verify first-public result publication date. Do not research other fields.,0,0,2,P2_LATEST4Q,2,P2_LATEST4Q,FIRST_PUBLIC_PUBLISH_DATE,0,NO,COTY
"Research official issuer sources for FY2025 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q4. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2026 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Capex required to derive FCF, EBIT, FCF, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify Total Debt. Do not research other fields.",0,0,8,P2_LATEST4Q,8,P2_LATEST4Q,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,COUR
,0,1,0,NO_EXTERNAL_RESEARCH_NEEDED,1,P3_LATEST8Q,,0,NO,CPAY
"Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation, Total Debt. Do not research other fields.",0,1,3,P3_LATEST8Q,4,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CPIX
"Research official issuer sources for FY2024 Q4. Verify EBIT, lineage/source ownership evidence, source semantics confirmation, target collision evidence. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify lineage/source ownership evidence, official period_end. Do not research other fields.",0,0,6,P3_LATEST8Q,6,P3_LATEST8Q,EBIT_DIRECT|LINEAGE_OWNERSHIP_EVIDENCE|OFFICIAL_PERIOD_END|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE,0,YES,CPRI
Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Total Debt. Do not research other fields.,0,2,2,P3_LATEST8Q,4,P3_LATEST8Q,TOTAL_DEBT,0,NO,CPRT
"Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.",0,1,4,P3_LATEST8Q,5,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CPT
"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, Revenue, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Cash, EBIT, source semantics confirmation. Do not research other fields.",0,2,12,P3_LATEST8Q,14,P3_LATEST8Q,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|REVENUE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CRBP
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,TOTAL_DEBT,0,NO,CRBU
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,1,2,P3_LATEST8Q,3,P3_LATEST8Q,TOTAL_DEBT,0,NO,CRCT
"Research official issuer sources for FY2024 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify missing quarter existence/source evidence, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify missing quarter existence/source evidence. Do not research other fields.",0,0,5,P3_LATEST8Q,5,P3_LATEST8Q,MISSING_QUARTER_EXISTENCE|TOTAL_DEBT,0,YES,CRDF
"Research official issuer sources for FY2025 Q1. Verify target collision evidence, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify target collision evidence, Total Debt. Do not research other fields.",0,0,4,P3_LATEST8Q,4,P3_LATEST8Q,TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,0,YES,CRDO
"Research official issuer sources for FY2025 Q1. Verify EBIT, FCF, OCF required to derive FCF, source semantics confirmation, Total Debt. Do not research other fields.",0,1,5,P3_LATEST8Q,6,P3_LATEST8Q,EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CRK
"Research official issuer sources for FY2024 Q1. Verify Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify missing quarter existence/source evidence, Total Debt. Do not research other fields.",0,0,5,P3_LATEST8Q,5,P3_LATEST8Q,MISSING_QUARTER_EXISTENCE|REVENUE|TOTAL_DEBT,0,YES,CRMD
"Research official issuer sources for FY2025 Q1. Verify EBIT, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify EBIT, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,6,P3_LATEST8Q,6,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CRMT
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Cash. Do not research other fields.,0,2,3,P3_LATEST8Q,5,P3_LATEST8Q,CASH|TOTAL_DEBT,0,NO,CRNX
,0,1,0,NO_EXTERNAL_RESEARCH_NEEDED,1,P3_LATEST8Q,,0,NO,CRON
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,1,2,P3_LATEST8Q,3,P3_LATEST8Q,TOTAL_DEBT,0,NO,CRSP
Research official issuer sources for FY2025 Q3. Verify first-public result publication date. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,1,3,P2_LATEST4Q,4,P2_LATEST4Q,FIRST_PUBLIC_PUBLISH_DATE|TOTAL_DEBT,0,NO,CRTO
"Research official issuer sources for FY2024 Q2. Verify missing quarter existence/source evidence, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q4. Verify EBIT, missing quarter existence/source evidence, source semantics confirmation. Do not research other fields.",0,0,5,P3_LATEST8Q,5,P3_LATEST8Q,EBIT_DIRECT|MISSING_QUARTER_EXISTENCE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CRUS
"Research official issuer sources for FY2025 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q4. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2026 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify Total Debt. Do not research other fields.",0,2,13,P2_LATEST4Q,15,P2_LATEST4Q,CAPEX_FOR_FCF|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CRVO
"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Cash. Do not research other fields.",0,2,11,P3_LATEST8Q,13,P3_LATEST8Q,CAPEX_FOR_FCF|CASH|FCF_DIRECT|REVENUE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CRVS
"Research official issuer sources for FY2025 Q4. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,YES,CRWD
"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, missing quarter existence/source evidence, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify missing quarter existence/source evidence. Do not research other fields.",0,0,8,P3_LATEST8Q,8,P3_LATEST8Q,CAPEX_FOR_FCF|FCF_DIRECT|MISSING_QUARTER_EXISTENCE|SOURCE_SEMANTICS_CONFIRMATION,0,YES,CSR
"Research official issuer sources for FY2024 Q2. Verify Cash, EBIT, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Cash, EBIT, source semantics confirmation, Total Debt. Do not research other fields.",0,1,8,P3_LATEST8Q,9,P3_LATEST8Q,CASH|EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CSTM
,0,1,0,NO_EXTERNAL_RESEARCH_NEEDED,1,P3_LATEST8Q,,0,NO,CSW
"Research official issuer sources for FY2025 Q3. Verify EBIT, FCF, OCF required to derive FCF, source semantics confirmation. Do not research other fields.",0,0,4,P3_LATEST8Q,4,P3_LATEST8Q,EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CTAS
,0,2,0,NO_EXTERNAL_RESEARCH_NEEDED,2,P3_LATEST8Q,,0,NO,CTEV
Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Cash. Do not research other fields.,0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,CASH|TOTAL_DEBT,0,NO,CTMX
"Research official issuer sources for FY2023 Q3. Verify Cash, first-public result publication date, Total Debt. Do not research other fields.; Research official issuer sources for FY2023 Q4. Verify first-public result publication date, Total Debt. Do not research other fields.",0,2,5,P3_LATEST8Q,7,P3_LATEST8Q,CASH|FIRST_PUBLIC_PUBLISH_DATE|TOTAL_DEBT,0,NO,CTNM
"Research official issuer sources for FY2024 Q4. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CTNT
"Research official issuer sources for FY2024 Q1. Verify Capex required to derive FCF, Cash, FCF, first-public result publication date, lineage/source ownership evidence, Revenue, source semantics confirmation, target collision evidence, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, Cash, FCF, first-public result publication date, lineage/source ownership evidence, Revenue, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q4. Verify lineage/source ownership evidence, target collision evidence. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify lineage/source ownership evidence, target collision evidence. Do not research other fields.",0,0,21,P3_LATEST8Q,21,P3_LATEST8Q,CAPEX_FOR_FCF|CASH|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|REVENUE|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,0,YES,CTOR
"Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.",0,1,4,P3_LATEST8Q,5,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CTRE
"Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, missing quarter existence/source evidence, source semantics confirmation. Do not research other fields.",0,0,5,P3_LATEST8Q,5,P3_LATEST8Q,EBIT_DIRECT|MISSING_QUARTER_EXISTENCE|SOURCE_SEMANTICS_CONFIRMATION,0,YES,CTVA
"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, missing quarter existence/source evidence, Revenue, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, missing quarter existence/source evidence, source semantics confirmation. Do not research other fields.",0,0,14,P3_LATEST8Q,14,P3_LATEST8Q,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|MISSING_QUARTER_EXISTENCE|REVENUE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,YES,CTXR
"Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.",0,1,4,P3_LATEST8Q,5,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,CUBE
Research official issuer sources for FY2024 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,1,3,P3_LATEST8Q,4,P3_LATEST8Q,TOTAL_DEBT,0,NO,CURI
"Research official issuer sources for FY2025 Q1. Verify EBIT, FCF, OCF required to derive FCF, source semantics confirmation, Total Debt. Do not research other fields.",0,1,5,P3_LATEST8Q,6,P3_LATEST8Q,EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,CUZ
"Research official issuer sources for FY2023 Q2. Verify lineage/source ownership evidence, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q4. Verify lineage/source ownership evidence, official period_end. Do not research other fields.",0,0,4,P3_LATEST8Q,4,P3_LATEST8Q,LINEAGE_OWNERSHIP_EVIDENCE|OFFICIAL_PERIOD_END|TOTAL_DEBT,0,NO,CVCO
Research official issuer sources for FY2025 Q2. Verify Total Debt. Do not research other fields.,0,0,1,P3_LATEST8Q,1,P3_LATEST8Q,TOTAL_DEBT,0,YES,CVLT
Research official issuer sources for FY2024 Q3. Verify missing quarter existence/source evidence. Do not research other fields.,0,0,1,P3_LATEST8Q,1,P3_LATEST8Q,MISSING_QUARTER_EXISTENCE,0,YES,CVS
